Sample,Cr,Cu,As,Se,Cd,Sn,Pb,Rb(ug/L),Ru,Cs,Ir,V,Co,Ag,Pt,Au,Ti
1,1.624,13.363,0.636,3.36,0.021,0.06,0.407,7.312,0.034,0.71,0.109,0.032,0.054,0.054,0.172,0,0.004
2,0.447,13.12,0.662,2.172,0.016,0.053,0.724,8.415,0.011,0.405,0,0.071,0.048,0.048,0,0.075,0.005
3,2.635,14.561,0.44,1.468,0.05,0.057,0.276,6.964,0.115,0.48,0,0.032,0.037,0.037,0.04,0.14,0.003
4,0.435,14.66,0.258,2.46,0.01,0.035,0.359,5.606,0.072,0.438,0.018,0.035,0.05,0.05,0.04,0,0.001
5,0.458,8.423,0.234,1.93,0.026,0.12,1.009,5.019,0.014,0.692,0.019,0.047,0.016,0.016,0,0.072,0
6,0.215,8.025,0.263,1.081,0.01,0.048,0.206,7.685,0.000,0.417,0,0.045,0.074,0.074,0,0,0.004
7,0.3,8.12,0.292,2.306,0.007,0.01,0.066,9.176,0.041,0.662,0.037,0.022,0.021,0.021,0.043,0,0.003
8,0.366,12.759,0.258,1.652,0.02,0.101,0.617,5.115,0.022,0.421,0.054,0.062,0.076,0.076,0.04,0,0.001
9,0.493,14.662,0.185,3.444,0.01,0.087,0.394,7.392,0.021,0.516,0,0.059,0.053,0.053,0.087,0,0.002
10,0.388,13.046,0.338,2.579,0.025,0.089,2.863,5.315,0.193,0.586,0.061,0.042,0.035,0.035,0,0,0.005
11,1.585,12.735,0.21,1.95,0.014,0.066,0.23,4.199,0.014,0.128,0.035,0.064,0.049,0.049,0.043,0,0.002
12,0.223,13.457,0.129,2.145,0.01,0.01,0.165,10,0.17,0.71,0,0.031,0.099,0.099,0,0.088,0.001
13,0.497,14.577,0.315,0.968,0.017,0.087,0.494,2.946,0.024,0.234,0,0.052,0.051,0.051,0.048,0,0.002
14,0.219,9.282,0.149,1.434,0.008,0.067,0.157,6.217,0.137,0.487,0.049,0.012,0.023,0.023,0.084,0.082,0.001
15,0.325,12.96,0.217,2.447,0.004,0.043,0.471,9.403,0.000,0.431,0,0.06,0.048,0.048,0,0.092,0.007
16,3.019,13.261,0.171,2.124,0.012,0.072,0.345,10.986,0.000,1.464,0.036,0.01,0.034,0.034,0,0,0.005
17,0.285,10.687,0.297,1.898,0.015,0.057,0.198,5.401,0.014,0.21,0.02,0.017,0.031,0.031,0.076,0,0.005
18,0.199,14.11,0.178,2.311,0.031,0.033,0.42,3.929,0.004,0.271,0,0.041,0.012,0.012,0,0,0.004
19,0.949,11.901,0.229,2.552,0.023,0.033,0.429,3.74,0.092,0.26,0.018,0.048,0.05,0.05,0.081,0,0
20,0.312,9.189,0.117,1.958,0.007,0.029,0.117,7.047,0.018,0.596,0.036,0.046,0.036,0.036,0.085,0,0.002
21,0.666,10.095,0.202,1.754,0.015,0.052,1.31,4.341,0.024,0.364,0.037,0.074,0.09,0.09,0,0.172,0
22,0.413,8.042,0.158,1.228,0.016,0.041,0.417,2.736,0.000,0.069,0.036,0.101,0.023,0.023,0.128,0,0.002
23,0.304,12.78,0.558,4.354,0.008,0.055,0.338,7.259,0.009,0.255,0.037,0.032,0.116,0.116,0.042,0,0
24,0.294,11.986,0.177,2.193,0.017,0.056,0.589,10.362,0.038,0.579,0,0.091,0.067,0.067,0,0,0.003
25,0.632,11.598,0.205,1.827,0.005,0.077,1.737,14.269,0.004,0.478,0,0.06,0.045,0.045,0.048,0.14,0.005
26,0.214,17.489,0.145,2.401,0.018,0.041,0.331,4.795,0.019,0.173,0.04,0.049,0.076,0.076,0.049,0,0.005
27,0.188,11.22,0.272,2.156,0.007,0.095,2.102,3.85,0.014,0.265,0,0.046,0.082,0.082,0.088,0.087,0.003
28,0.527,10.141,0.297,2.896,0.01,0.043,0.214,8.688,0.000,0.646,0.036,0.028,0.019,0.019,0.21,0,0
29,1.006,14.655,0.414,2.055,0.011,0.025,0.374,4.862,0.059,0.343,0,0.093,0.06,0.06,0.041,0,0.002
30,0.317,13.775,0.202,2.06,0.045,0.126,1.071,7.955,0.037,0.525,0.017,0.086,0.135,0.135,0.04,0.182,0.001
31,0.263,9.782,0.117,3.761,0.003,0.04,0.183,2.488,0.004,0.128,0.014,0.05,0.066,0.066,0,0,0.001
32,0.337,7.147,0.222,1.534,0.02,0.032,0.269,4.737,0.000,0.364,0.018,0.014,0.056,0.056,0.052,0,0.003
33,0.233,19.288,0.323,1.158,0.014,0.056,0.202,1.903,0.005,0.076,0,0.026,0.019,0.019,0,0.084,0.004
34,3.314,9.94,0.174,3.709,0.025,0.075,0.265,12.966,0.000,0.312,0,0.025,0.084,0.084,0.045,0,0
35,2.215,12.835,0.214,1.534,0.031,0.058,0.324,8.197,0.000,0.537,0.036,0.017,0.062,0.062,0.045,0,0.005
36,0.34,13.843,0.131,2.158,0.003,0.06,0.532,11.319,0.014,0.574,0,0.043,0.081,0.081,0.045,0,0.002
37,0.244,14.801,0.104,3.136,0.023,0.047,0.279,14.33,0.004,0.626,0,0.064,0.099,0.099,0.064,0,0.004
38,0.261,14.34,0.142,2.337,0.028,0.058,0.736,7.098,0.000,0.426,0.018,0.062,0.113,0.113,0.061,0,0.004
39,0.624,11.485,0.267,2.075,0.017,0.077,0.26,5.006,0.001,0.265,0,0.05,0.05,0.05,0.173,0.09,0.003
40,0.328,10.42,0.175,1.543,0.01,0.029,0.36,7.58,0.000,0.425,0,0.02,0.028,0.028,0.091,0,0.002
41,0.321,15.638,0.173,0.753,0.029,0.124,0.168,4.994,0.000,0.174,0,0.046,0.036,0.036,0.051,0.073,0.004
42,0.325,16.254,0.067,2.366,0.015,0.089,0.319,15.166,0.000,3.08,0.037,0.005,0.000,0.000,0.1,0,0.006
43,0.647,13.245,0.36,2.541,0.02,0.135,0.445,5.377,0.000,0.279,0.018,0.048,0.089,0.089,0.039,0,0.001
44,0.618,13.709,0.294,3.666,0.06,0.091,0.637,8.821,0.000,0.273,0.035,0.064,0.108,0.108,0.133,0,0
45,0.531,12.581,0.223,2.638,0,0.059,1.816,5.8,0.000,0.397,0,0.059,0.206,0.206,0.045,0.16,0.002
46,0.776,14.115,0.288,3.11,0.014,0.091,0.916,6.486,0.000,0.259,0,0.032,0.076,0.076,0.094,0,0.005
47,1.081,12.237,0.156,2.996,0.007,0.026,0.491,8.648,0.000,0.375,0,0.033,0.044,0.044,0.047,0,0.008
48,0.307,8.146,0.157,1.003,0.022,0.035,0.167,8.995,0.000,1.015,0,0.076,0.111,0.111,0.066,0.122,0.003
49,0.589,16.627,0.418,9.421,0.011,0.077,0.65,3.646,0.000,0.19,0.018,0.016,0.023,0.023,0,0,0.002
50,0.574,11.489,0.39,4.475,0.008,0.055,0.702,5.459,0.000,0.332,0,0.038,0.129,0.129,0,0,0.000
51,0.432,13.007,0.389,3.405,0.014,0.026,0.456,7.676,0.000,0.416,0,0.022,0.054,0.054,0,0,0.003
52,0.444,15.515,0.267,1.635,0.026,0.073,0.941,2.637,0.000,0.163,0.018,0.018,0.024,0.024,0.091,0.171,0.000
53,0.476,14.992,0.2,2.738,0.026,0.021,0.398,6.129,0.000,0.461,0,0.051,0.101,0.101,0.042,0,0.002
54,0.76,10.213,0.224,2.734,0.029,0.064,0.692,12.492,0.000,0.969,0.039,0.044,0.073,0.073,0.108,0,0.003
55,0.372,15.204,0.126,2.683,0.012,0.063,0.27,12.567,0.000,0.619,0,0.047,0.084,0.084,0.054,0,0.005
