Sample,Cr,Cu,As,Se,Cd,Sn,Pb,Rb(ug/L),Ru,Cs,Ir,V,Co,Ag,Pt,Au,Ti, Li  ,Al,Ti,Ni,Sr,Mo,Rh,Sb,Te,Ba,Hg,Zn,Ca,Fe,K,Mn,Cu,Na,P,Mg
1,1.624,13.363,0.636,3.36,0.021,0.06,0.407,7.312,0.034,0.71,0.109,0.032,0.054,0.054,0.172,0,0.004,0,10.16,7.341,0.751,4.669,0.368,0,0.037,0,1.535,0,4.2,6.86,2.53,331.4,16.38,65.23,67.23,172.3,20.28
2,0.447,13.12,0.662,2.172,0.016,0.053,0.724,8.415,0.011,0.405,0,0.071,0.048,0.048,0,0.075,0.005,0,11.198,6.397,0.432,17.101,0.24,0,0.037,0,4.027,0.038,3.87,16.55,1.85,302.86,18.27,55.79,31.83,157.76,21.57
3,2.635,14.561,0.44,1.468,0.05,0.057,0.276,6.964,0.115,0.48,0,0.032,0.037,0.037,0.04,0.14,0.003,0,6.235,5.283,0.391,9.319,0.164,0,0.038,0,2.435,0.038,4.44,10.81,2.42,303.99,18.8,66.68,63.04,151.12,18.89
4,0.435,14.66,0.258,2.46,0.01,0.035,0.359,5.606,0.072,0.438,0.018,0.035,0.05,0.05,0.04,0,0.001,0,0.626,6.066,0.072,6.523,0.208,0,0.035,0,1.741,0,3.92,8.81,3.32,339.31,20.87,76.34,66.79,172.65,20.08
5,0.458,8.423,0.234,1.93,0.026,0.12,1.009,5.019,0.014,0.692,0.019,0.047,0.016,0.016,0,0.072,0,1.784,6.19,6.446,0.361,13.618,0.281,0,0.058,0,3.005,0.016,3.5,20.19,1.7,348.04,18.18,39.8,69.46,173.52,21.95
6,0.215,8.025,0.263,1.081,0.01,0.048,0.206,7.685,0,0.417,0,0.045,0.074,0.074,0,0,0.004,0,1.417,5.236,0.065,6.505,0.087,0,0.029,0,2.021,0.016,6.15,8.22,1.39,307.02,14.33,37.54,51.4,158.76,19.53
7,0.3,8.12,0.292,2.306,0.007,0.01,0.066,9.176,0.041,0.662,0.037,0.022,0.021,0.021,0.043,0,0.003,0,1.872,8.304,0.183,4.311,0.112,0,0.02,0,1.425,0.001,4.31,6.52,1.82,365.29,11.25,41.04,51.83,182.11,22.28
8,0.366,12.759,0.258,1.652,0.02,0.101,0.617,5.115,0.022,0.421,0.054,0.062,0.076,0.076,0.04,0,0.001,0,8.818,4.006,0.205,10.251,0.086,0,0.043,0,3.08,0,4.99,13.83,2.03,276.37,22.79,57,50.78,141.7,18.48
9,0.493,14.662,0.185,3.444,0.01,0.087,0.394,7.392,0.021,0.516,0,0.059,0.053,0.053,0.087,0,0.002,0,13.323,6.432,0.031,13.965,0.152,0,0.024,0,10.467,0,3.99,40.29,2.2,330.01,14.29,64.23,68.95,186.17,20.17
10,0.388,13.046,0.338,2.579,0.025,0.089,2.863,5.315,0.193,0.586,0.061,0.042,0.035,0.035,0,0,0.005,0,74.899,5.367,0.176,6.315,0.099,0.003,0.046,0,2.044,0,4.74,8.66,1.99,331.71,13.78,54.09,59.13,169.8,20.2
11,1.585,12.735,0.21,1.95,0.014,0.066,0.23,4.199,0.014,0.128,0.035,0.064,0.049,0.049,0.043,0,0.002,0,6.552,5.058,0.608,8.711,0.119,0,0.055,0,2.294,0,6.58,10.18,2.62,280.23,18.46,59.89,94.25,139.71,18.33
12,0.223,13.457,0.129,2.145,0.01,0.01,0.165,10,0.17,0.71,0,0.031,0.099,0.099,0,0.088,0.001,0,1.638,3.635,0,4.087,0.084,0,0.006,0,1.223,0.004,6.31,6.13,2.26,316.95,16.15,71.48,49.32,163.77,19.51
13,0.497,14.577,0.315,0.968,0.017,0.087,0.494,2.946,0.024,0.234,0,0.052,0.051,0.051,0.048,0,0.002,2.166,18.725,7.252,0.434,26.907,0.193,0.002,0.132,0,7.106,0.001,4.15,16.41,1.74,324.05,25.51,74.72,65.26,163.82,21.45
14,0.219,9.282,0.149,1.434,0.008,0.067,0.157,6.217,0.137,0.487,0.049,0.012,0.023,0.023,0.084,0.082,0.001,0,8.642,5.702,0.011,5.427,0.078,0,0.028,0,1.812,0,4.71,8.55,1.53,360.75,11.93,43.76,49.51,173.45,19.87
15,0.325,12.96,0.217,2.447,0.004,0.043,0.471,9.403,0,0.431,0,0.06,0.048,0.048,0,0.092,0.007,1.987,6.756,6.184,0.081,10.503,0.084,0.002,0.036,0,3.07,0.035,4.33,11.53,1.67,341.8,18.15,60.31,34.98,172.18,21.59
16,3.019,13.261,0.171,2.124,0.012,0.072,0.345,10.986,0,1.464,0.036,0.01,0.034,0.034,0,0,0.005,0,7.233,4.505,0.065,4.749,0.042,0,0.03,0,1.556,0.002,3.37,7.69,2.04,330.61,18.08,65.54,42.36,166.86,20.21
17,0.285,10.687,0.297,1.898,0.015,0.057,0.198,5.401,0.014,0.21,0.02,0.017,0.031,0.031,0.076,0,0.005,0,3.289,5.715,0.127,8.522,0.154,0,0.044,0,2.572,0.022,7.05,8.41,1.91,325.97,17.24,47.31,74.29,161.8,19.02
