Name,Location,CIR,Cr,Cu,As,Se,Cd,Sn,Pb,Rb,Ru,Cs,Ir,V,Co,Ag,Pt,Au,Tl, Li  ,Al,Ti,Ni,Sr,Mo,Rh,Sb,Te,Ba,Hg,Zn,Ca,Fe,K,Mn,Na,P,Mg,Sc,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
Heilongjiang_1,CHN,-16.3196,2.635,14.561,0.44,1.468,0.05,0.057,0.276,6.964,0.115,0.48,0,0.032,0.037,1.147,0.04,0.14,0.003,0,6.235,5.283,0.391,9.319,0.164,0,0.038,0,2.435,0.038,4.44,10.81,2.42,303.99,18.8,63.04,151.12,18.89,0.121,0.038,0.077,0.087,0.007,0.036,0.009,0.023,0.028,0.007,0.006,0.001,0.014,0.002,0.004,0.002
Heilongjiang_2,CHN,-17.3078,0.435,14.66,0.258,2.46,0.01,0.035,0.359,5.606,0.072,0.438,0.018,0.035,0.05,0.28,0.04,0,0.001,0,0.626,6.066,0.072,6.523,0.208,0,0.035,0,1.741,0,3.92,8.81,3.32,339.31,20.87,66.79,172.65,20.08,0.157,0.04,0.044,0.057,0.008,0.018,0.005,0.006,-0.001,0,0.008,0,0.003,0,0,0.001
Heilongjiang_4,CHN,-12.7983,0.458,8.423,0.234,1.93,0.026,0.12,1.009,5.019,0.014,0.692,0.019,0.047,0.016,0.399,0,0.072,0,1.784,6.19,6.446,0.361,13.618,0.281,0,0.058,0,3.005,0.016,3.5,20.19,1.7,348.04,18.18,69.46,173.52,21.95,0.055,0.029,0.031,0.046,0,0.079,0.016,0.005,0,0.003,0.009,0.001,0.014,0,0,0.002
JiLin_1,CHN,-14.3213,0.215,8.025,0.263,1.081,0.01,0.048,0.206,7.685,0,0.417,0,0.045,0.074,0.42,0,0,0.004,0,1.417,5.236,0.065,6.505,0.087,0,0.029,0,2.021,0.016,6.15,8.22,1.39,307.02,14.33,51.4,158.76,19.53,0.079,0.054,0.186,0.08,0.005,0.083,0,0.011,0.008,0.008,0.02,0.002,0.011,0.001,0.005,0
JiLin_2,CHN,-15.6143,0.3,8.12,0.292,2.306,0.007,0.01,0.066,9.176,0.041,0.662,0.037,0.022,0.021,0.586,0.043,0,0.003,0,1.872,8.304,0.183,4.311,0.112,0,0.02,0,1.425,0.001,4.31,6.52,1.82,365.29,11.25,51.83,182.11,22.28,0.228,0.065,0.032,0.085,0.011,0.028,0.005,0.007,-0.003,0.003,0,0.002,0.015,0,0.002,0.001
JiLin_3,CHN,-15.1318,0.366,12.759,0.258,1.652,0.02,0.101,0.617,5.115,0.022,0.421,0.054,0.062,0.076,1.07,0.04,0,0.001,0,8.818,4.006,0.205,10.251,0.086,0,0.043,0,3.08,0,4.99,13.83,2.03,276.37,22.79,50.78,141.7,18.48,0.237,0.02,0.117,0.025,0.008,0.018,0,0.006,0.015,0,0.004,0,0.003,0.001,0,0
JiLin_5,CHN,-17.663,0.493,14.662,0.185,3.444,0.01,0.087,0.394,7.392,0.021,0.516,0,0.059,0.053,1.816,0.087,0,0.002,0,13.323,6.432,0.031,13.965,0.152,0,0.024,0,10.467,0,3.99,40.29,2.2,330.01,14.29,68.95,186.17,20.17,0.124,0.008,0.024,0.04,0.003,0.01,0.011,0.023,-0.003,0.004,0,0.001,0.006,0,0,0
XinJiang_1,CHN,-15.8828,1.585,12.735,0.21,1.95,0.014,0.066,0.23,4.199,0.014,0.128,0.035,0.064,0.049,1.034,0.043,0,0.002,0,6.552,5.058,0.608,8.711,0.119,0,0.055,0,2.294,0,6.58,10.18,2.62,280.23,18.46,94.25,139.71,18.33,0.091,0.007,0.032,0.006,0.011,0,0.006,0.018,0.007,0.006,0.018,0.005,0.009,0.001,0.008,0.001
XinJiang_2,CHN,-14.7032,0.223,13.457,0.129,2.145,0.01,0.01,0.165,10,0.17,0.71,0,0.031,0.099,0.664,0,0.088,0.001,0,1.638,3.635,0,4.087,0.084,0,0.006,0,1.223,0.004,6.31,6.13,2.26,316.95,16.15,49.32,163.77,19.51,0.056,0.014,0.024,0.091,0.005,0.039,0.017,0.01,0.006,0.001,0.012,0.002,0.014,0,0.007,0.002
XinJiang_4,CHN,-17.5733,0.219,9.282,0.149,1.434,0.008,0.067,0.157,6.217,0.137,0.487,0.049,0.012,0.023,1.539,0.084,0.082,0.001,0,8.642,5.702,0.011,5.427,0.078,0,0.028,0,1.812,0,4.71,8.55,1.53,360.75,11.93,49.51,173.45,19.87,0.157,0,0.034,0.001,0.003,0.019,0,0.007,-0.004,0.003,0,0.001,0.006,0,0.003,0
