Name,Location,CIR,Cr,Cu,As,Se,Cd,Sn,Pb,Rb,Ru,Cs,Ir,V,Co,Ag,Pt,Au,Tl, Li  ,Al,Ti,Ni,Sr,Mo,Rh,Sb,Te,Ba,Hg,Zn,Ca,Fe,K,Mn,Na,P,Mg,Sc,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
Heilongjiang,CHN,-16.3196,2.635,14.561,0.44,1.468,0.05,0.057,0.276,6.964,0.115,0.48,0,0.032,0.037,1.147,0.04,0.14,0.003,0,6.235,5.283,0.391,9.319,0.164,0,0.038,0,2.435,0.038,4.44,10.81,2.42,303.99,18.8,63.04,151.12,18.89,0.121,0.038,0.077,0.087,0.007,0.036,0.009,0.023,0.028,0.007,0.006,0.001,0.014,0.002,0.004,0.002
Heilongjiang,CHN,-17.3078,0.435,14.66,0.258,2.46,0.01,0.035,0.359,5.606,0.072,0.438,0.018,0.035,0.05,0.28,0.04,0,0.001,0,0.626,6.066,0.072,6.523,0.208,0,0.035,0,1.741,0,3.92,8.81,3.32,339.31,20.87,66.79,172.65,20.08,0.157,0.04,0.044,0.057,0.008,0.018,0.005,0.006,-0.001,0,0.008,0,0.003,0,0,0.001
Heilongjiang,CHN,-12.7983,0.458,8.423,0.234,1.93,0.026,0.12,1.009,5.019,0.014,0.692,0.019,0.047,0.016,0.399,0,0.072,0,1.784,6.19,6.446,0.361,13.618,0.281,0,0.058,0,3.005,0.016,3.5,20.19,1.7,348.04,18.18,69.46,173.52,21.95,0.055,0.029,0.031,0.046,0,0.079,0.016,0.005,0,0.003,0.009,0.001,0.014,0,0,0.002
JiLin,CHN,-14.3213,0.215,8.025,0.263,1.081,0.01,0.048,0.206,7.685,0,0.417,0,0.045,0.074,0.42,0,0,0.004,0,1.417,5.236,0.065,6.505,0.087,0,0.029,0,2.021,0.016,6.15,8.22,1.39,307.02,14.33,51.4,158.76,19.53,0.079,0.054,0.186,0.08,0.005,0.083,0,0.011,0.008,0.008,0.02,0.002,0.011,0.001,0.005,0
JiLin,CHN,-15.6143,0.3,8.12,0.292,2.306,0.007,0.01,0.066,9.176,0.041,0.662,0.037,0.022,0.021,0.586,0.043,0,0.003,0,1.872,8.304,0.183,4.311,0.112,0,0.02,0,1.425,0.001,4.31,6.52,1.82,365.29,11.25,51.83,182.11,22.28,0.228,0.065,0.032,0.085,0.011,0.028,0.005,0.007,-0.003,0.003,0,0.002,0.015,0,0.002,0.001
JiLin,CHN,-15.1318,0.366,12.759,0.258,1.652,0.02,0.101,0.617,5.115,0.022,0.421,0.054,0.062,0.076,1.07,0.04,0,0.001,0,8.818,4.006,0.205,10.251,0.086,0,0.043,0,3.08,0,4.99,13.83,2.03,276.37,22.79,50.78,141.7,18.48,0.237,0.02,0.117,0.025,0.008,0.018,0,0.006,0.015,0,0.004,0,0.003,0.001,0,0
JiLin,CHN,-17.663,0.493,14.662,0.185,3.444,0.01,0.087,0.394,7.392,0.021,0.516,0,0.059,0.053,1.816,0.087,0,0.002,0,13.323,6.432,0.031,13.965,0.152,0,0.024,0,10.467,0,3.99,40.29,2.2,330.01,14.29,68.95,186.17,20.17,0.124,0.008,0.024,0.04,0.003,0.01,0.011,0.023,-0.003,0.004,0,0.001,0.006,0,0,0
SiChuan,CHN,-18.2615,0.324,13.245,0.132,1.323,0.028,0.032,0.265,4.548,0,0.13,0,0.061,0.049,2.008,0,0.101,0.009,0,152.891,2.681,0.058,10.261,0.041,0,0.015,0,2.513,0,4.9,12.85,2.27,189.73,15.92,37.74,117.23,14.79,0.151,0.058,0.103,0.101,0.016,0.011,0.012,0.013,0.004,0.003,0.029,0,0.013,0,0.006,0.001
SiChuan,CHN,-19.2918,0.297,9.852,0.071,1.624,0.009,0.045,0.42,5.016,0,0.215,0,0.029,0.033,0.6,0.097,0.095,0.012,0,7.167,3.321,0.029,4.275,0.02,0,0.848,0.07,1.207,0,3.71,7,1.43,187.51,12.71,31.62,104.05,11.91,0.165,0.057,0.167,0.232,0.004,0.063,0.015,0.016,0.044,0.005,0.015,0.009,0.007,0.001,0.012,0.002
SiChuan,CHN,-27.2283,0.254,13.761,0.153,2.503,0.001,0.014,0.184,16.542,0,2.275,0,0.021,0.023,0.942,0,0,0.009,0,7.287,4.655,0,3.484,0.01,0,0.007,0,1.126,0,4.17,6.59,2.61,294.75,12.56,41.07,150.48,17.53,0.157,0.01,0.04,0.057,0.008,0.014,0,0.01,0.012,0.004,0.006,0.002,0,0,0.004,0.004
ShanDong,CHN,-15.2365,0.428,7.388,0.156,1.524,0.014,0.033,0.622,8.241,0,0.34,0.036,0.022,0.045,0.297,0.048,0.174,0.003,0,10.056,4.686,0.005,4.408,0.048,0.004,0.005,0,1.638,0,3.75,7.73,1.48,284.94,16.61,36.03,144.76,17.04,0.016,0.195,0.225,0.3,0.033,0.145,0.014,0.045,0.044,0.015,0.031,0.005,0.025,0.004,0.011,0.003
ShanDong,CHN,-15.071,0.556,14.051,0.222,1.757,0,0.025,0.165,13.868,0,0.215,0.036,0.023,0.034,1.436,0.093,0,0,1.516,11.654,5.552,0.005,5.368,0.113,0,0.019,0,1.723,0.001,5.54,8.89,2.61,329.41,20.56,49.29,170.33,20.13,0.125,0.027,0.053,0.054,0,0.038,0.007,0.008,0.006,0.003,0,0.003,0.007,0.003,0.003,0
ShanDong,CHN,-22.3885,0.24,9.278,0.258,2.12,0.026,0.017,0.37,4.192,0,0.163,0,0.026,0.033,1.068,0,0,0.003,3.025,6.024,2.602,0.021,5.203,0,0,0.021,0,1.942,0,1.94,10.17,2.06,271.01,13.88,39,140.82,15.98,0.174,0.02,0.847,0.11,0.011,0.039,0.014,0.034,0.01,0.004,0.016,0,0.004,0.001,0.013,0
ShanDong,CHN,-21.2865,0.299,8.552,0.135,1.223,0.004,0.017,0.188,3.529,0,0.208,0,0.04,0.029,1.022,0,0,0,0,21.555,5.668,0,3.634,0.01,0.005,0.009,0,1.219,0,4.46,6.29,1.37,258.04,13.9,37.77,141.92,16.11,0.298,0.044,0.16,0.257,0.007,0.073,0,0.014,0.034,0.009,0.016,0.001,0.007,0.001,0.006,0
ShanDong,CHN,-20.514,0.244,9.54,0.206,2.155,0.021,0.021,0.285,22.382,0,1.067,0,0.017,0.055,2.24,0.096,0,0.003,12.639,7.903,6.771,0.596,4.414,0.118,0.001,0.037,0.044,1.437,0,3.78,7.04,3.12,335.06,18.62,70.6,165.92,19.56,0.271,0.02,0.025,0.053,0.011,0.042,0,0.016,-0.002,0,0,0.003,0.016,0,0.007,0
ShanDong,CHN,-21.796,0.217,3.884,0.074,0.7,0.007,0.003,0.154,3.117,0,0.112,0.039,0,0,0.528,0,0,0,16.533,1.889,4.751,0.153,3.814,0.029,0.001,0.007,0,1.374,0.004,1.12,2.95,1.57,136.46,6.04,21.51,69.11,7.48,0.131,0.01,0.156,0.035,0.007,0.041,0,0.009,-0.002,0.002,0.006,0.003,0,0,0,0
